                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 1.3836,                0.82678,                 1.2556,                 1.6031,                 1.1201,                 1.2282,                0.81593,                0.66982,                0.74399,                0.42331,                 1.4051,                0.77272,                 1.2365,                 1.6275,                0.98733,                 1.2207,                0.00101,                0.00101,                0.00101
                     53,                 1.3676,                0.81426,                 1.2543,                 1.5838,                  1.078,                 1.2225,                0.78423,                0.66162,                 0.7313,                0.41295,                 1.4222,                0.76624,                 1.2425,                 1.6597,                0.99539,                 1.2316,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.3768,                0.81343,                 1.2527,                 1.5853,                 1.0724,                 1.2255,                0.82566,                0.67297,                0.74936,                 0.4319,                  1.413,                0.75977,                 1.2316,                 1.6201,                0.97084,                 1.2155,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.3677,                0.81413,                 1.2505,                 1.5914,                 1.0955,                 1.2249,                0.80047,                0.67533,                0.74716,                0.43053,                 1.4176,                0.76152,                  1.229,                 1.6391,                0.96257,                 1.2156,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.3715,                0.81643,                 1.2491,                 1.5901,                 1.0966,                 1.2242,                  0.834,                0.67928,                0.75543,                0.43369,                 1.3937,                0.74689,                 1.2298,                 1.6071,                0.97946,                 1.2138,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.3415,                0.79526,                 1.2458,                 1.5647,                 1.0641,                 1.2219,                0.81018,                0.66745,                0.74653,                 0.4281,                 1.4272,                   0.76,                 1.2382,                 1.6475,                0.97051,                 1.2244,               0.000911,               0.000911,               0.000911
                     58,                 1.3462,                0.79395,                 1.2333,                 1.5671,                 1.0613,                 1.2089,                0.83594,                0.64224,                0.74308,                0.42673,                 1.4035,                0.76305,                 1.2357,                 1.6284,                 1.0026,                 1.2215,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.3243,                0.78166,                 1.2296,                 1.5409,                 1.0405,                 1.2057,                0.81925,                0.66036,                0.74318,                0.42462,                 1.4068,                0.75431,                   1.24,                 1.6393,                0.94144,                 1.2295,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.3293,                0.78444,                 1.2361,                 1.5477,                 1.0401,                 1.2139,                0.82689,                0.66667,                0.74514,                0.42652,                 1.4131,                0.75441,                  1.244,                 1.6493,                0.98434,                 1.2347,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.3256,                0.78261,                 1.2238,                  1.554,                 1.0379,                 1.2042,                0.82764,                 0.6643,                0.74152,                0.42982,                 1.4002,                0.75717,                 1.2307,                 1.6201,                0.98669,                 1.2122,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.3199,                0.77766,                 1.2195,                 1.5388,                 1.0289,                 1.1995,                0.81937,                0.67204,                 0.7575,                0.43147,                 1.4088,                0.74821,                 1.2393,                 1.6349,                  0.958,                 1.2281,               0.000812,               0.000812,               0.000812
                     63,                 1.3224,                0.77021,                  1.224,                  1.549,                 1.0094,                 1.2029,                0.80441,                0.67737,                0.73809,                0.42026,                 1.4161,                0.75378,                 1.2466,                 1.6587,                 0.9924,                 1.2404,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.3157,                0.76922,                 1.2125,                 1.5445,                 1.0288,                 1.1958,                0.81912,                 0.6777,                0.75328,                0.42968,                 1.4012,                0.74264,                 1.2414,                 1.6463,                0.95175,                 1.2387,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.3101,                0.77379,                 1.2137,                 1.5445,                 1.0305,                 1.1911,                0.81097,                0.68965,                0.74747,                0.42678,                 1.4223,                0.75891,                 1.2437,                  1.658,                0.97639,                 1.2286,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.3051,                0.76816,                 1.2126,                 1.5298,                 1.0077,                 1.1918,                0.86553,                0.64618,                 0.7527,                0.43778,                 1.3986,                0.73903,                 1.2289,                 1.6147,                0.94807,                  1.215,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.3033,                0.76308,                 1.2011,                 1.5315,                 1.0168,                 1.1795,                0.81431,                0.68479,                0.75286,                0.43329,                 1.3988,                0.75379,                 1.2315,                 1.6381,                0.95684,                 1.2265,               0.000713,               0.000713,               0.000713
                     68,                 1.2701,                0.74894,                 1.1913,                 1.4935,                0.98133,                 1.1745,                0.81357,                 0.6912,                0.75593,                0.43768,                 1.3982,                0.74942,                 1.2293,                 1.6192,                0.93604,                 1.2223,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.2771,                0.75138,                 1.2012,                 1.4991,                0.98666,                 1.1827,                0.84288,                 0.6777,                0.75879,                0.43692,                 1.4075,                0.73399,                 1.2469,                 1.6326,                0.93737,                 1.2312,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.2942,                0.74728,                 1.2001,                 1.5182,                0.98878,                 1.1816,                0.84744,                0.65327,                 0.7479,                 0.4381,                 1.4115,                0.75115,                 1.2457,                 1.6291,                0.94993,                 1.2302,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.2779,                0.74587,                 1.1908,                  1.511,                0.98337,                 1.1738,                0.84514,                0.66903,                0.75797,                0.43672,                 1.4019,                0.74237,                 1.2355,                 1.6164,                0.94366,                 1.2216,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.2767,                 0.7392,                 1.1907,                 1.5042,                 0.9773,                 1.1722,                0.82605,                0.68164,                0.75836,                0.44217,                 1.3967,                0.73076,                 1.2364,                 1.6219,                0.89692,                 1.2254,               0.000614,               0.000614,               0.000614
                     73,                 1.2559,                0.73375,                 1.1855,                 1.4842,                0.97655,                 1.1674,                0.83997,                0.67006,                0.75426,                0.43596,                 1.4201,                0.73957,                 1.2386,                 1.6444,                0.93937,                 1.2251,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.2511,                0.72188,                 1.1775,                  1.486,                0.95036,                 1.1622,                0.80405,                0.68637,                0.75284,                0.43224,                 1.3985,                 0.7324,                 1.2474,                 1.6362,                0.91862,                  1.237,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.2485,                0.72588,                 1.1737,                 1.4794,                0.94837,                 1.1585,                 0.8281,                0.67191,                0.75509,                0.43759,                 1.3946,                0.73999,                 1.2433,                 1.6228,                0.93242,                 1.2291,              0.0005546,              0.0005546,              0.0005546
                     76,                  1.231,                0.71309,                 1.1681,                 1.4627,                0.93375,                 1.1562,                0.85146,                0.67304,                 0.7653,                0.44177,                  1.392,                0.72648,                 1.2374,                 1.6039,                0.91701,                 1.2251,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.2301,                0.71045,                 1.1749,                 1.4528,                0.92224,                 1.1607,                0.84864,                0.65833,                0.75198,                0.43206,                 1.4068,                 0.7334,                 1.2429,                 1.6456,                0.93592,                 1.2402,               0.000515,               0.000515,               0.000515
                     78,                 1.2283,                0.71311,                 1.1744,                 1.4596,                0.92721,                 1.1611,                0.83693,                0.67455,                0.75453,                  0.436,                 1.3932,                0.72342,                 1.2418,                 1.6281,                0.91774,                 1.2341,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.2336,                0.71391,                 1.1746,                  1.462,                0.92194,                 1.1658,                0.82783,                0.67455,                0.75108,                 0.4328,                 1.4089,                0.73063,                 1.2406,                  1.646,                0.90994,                 1.2289,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.2375,                0.71252,                 1.1714,                  1.465,                0.92203,                 1.1612,                0.81079,                0.67928,                0.75242,                0.43803,                 1.4022,                0.72709,                 1.2321,                 1.6327,                0.92694,                 1.2241,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.2076,                0.70146,                 1.1619,                 1.4363,                0.90933,                 1.1536,                0.83406,                0.68243,                0.76143,                0.43655,                 1.4043,                0.73069,                 1.2437,                 1.6308,                0.91505,                  1.232,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.2223,                0.70419,                 1.1557,                 1.4497,                0.91356,                 1.1406,                0.83445,                0.68794,                 0.7599,                0.44211,                 1.3939,                0.72438,                 1.2415,                 1.6191,                0.91244,                  1.233,               0.000416,               0.000416,               0.000416
                     83,                 1.2086,                0.70058,                 1.1613,                 1.4405,                0.90966,                 1.1495,                0.86226,                0.67585,                0.76057,                0.43818,                  1.411,                0.73424,                 1.2495,                 1.6261,                0.91871,                 1.2327,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.2025,                0.69388,                 1.1468,                 1.4372,                0.90087,                 1.1355,                0.79239,                0.69425,                0.75529,                0.43581,                 1.4018,                0.72373,                 1.2433,                 1.6143,                0.92296,                 1.2314,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.2168,                0.70006,                 1.1593,                  1.447,                0.90017,                 1.1466,                0.83351,                0.67463,                0.75431,                0.43722,                 1.4038,                0.72403,                  1.239,                 1.6329,                0.92108,                 1.2307,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.1955,                0.69245,                 1.1496,                 1.4298,                0.89458,                 1.1387,                0.82981,                 0.6777,                0.76065,                0.43692,                 1.3949,                0.71233,                 1.2459,                 1.6249,                0.90161,                 1.2321,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.1886,                0.68123,                 1.1394,                 1.4242,                0.88581,                 1.1297,                0.82435,                0.67681,                0.75438,                0.43615,                 1.4014,                0.72005,                 1.2412,                 1.6292,                0.90671,                 1.2343,               0.000317,               0.000317,               0.000317
