                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                 1.2061,                0.68274,                 1.1708,                0.85349,                0.71613,                0.77966,                0.44463,                 1.4319,                0.73975,                 1.3015,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.2014,                0.67567,                 1.1651,                0.85026,                0.71946,                0.77817,                0.44989,                 1.4197,                0.74094,                 1.2873,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.1848,                0.66724,                 1.1603,                0.88956,                0.70055,                 0.7789,                0.45081,                 1.4142,                0.72516,                 1.2917,               0.000515,               0.000515,               0.000515
                     77,                 1.1763,                0.66624,                 1.1649,                0.87945,                0.70607,                0.78478,                0.45296,                 1.4281,                0.73145,                 1.2969,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.1789,                0.66657,                 1.1655,                0.87261,                0.71252,                0.79129,                0.45375,                 1.4162,                 0.7346,                 1.2927,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.1897,                0.66753,                 1.1665,                0.86587,                0.71725,                0.78214,                0.44665,                 1.4214,                0.72837,                 1.2977,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.1936,                0.67177,                 1.1655,                0.87686,                0.70528,                0.78557,                0.45099,                  1.413,                0.72321,                 1.2868,              0.0004358,              0.0004358,              0.0004358
                     81,                   1.16,                0.65865,                 1.1546,                0.85456,                0.72694,                0.78676,                0.44912,                 1.4228,                 0.7241,                 1.2965,               0.000416,               0.000416,               0.000416
                     82,                 1.1698,                0.66132,                 1.1447,                0.86012,                0.71711,                0.77597,                0.45002,                 1.4093,                0.73736,                 1.2909,              0.0003962,              0.0003962,              0.0003962
                     83,                  1.167,                0.65427,                 1.1535,                0.86417,                0.73207,                0.79039,                  0.452,                 1.4145,                 0.7228,                 1.2897,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.1523,                0.64726,                 1.1345,                 0.8556,                0.73444,                0.78824,                0.45178,                 1.4156,                0.72791,                 1.2954,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.1695,                0.65342,                 1.1491,                0.86323,                0.72262,                0.78154,                0.44987,                 1.4252,                0.73741,                 1.2853,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.1462,                0.64635,                 1.1377,                0.87048,                0.71552,                0.79449,                 0.4563,                 1.4107,                0.72568,                 1.2927,               0.000317,               0.000317,               0.000317
                     87,                 1.1433,                0.63673,                 1.1286,                0.84151,                 0.7234,                0.78079,                0.44887,                 1.4243,                0.72955,                 1.2983,              0.0002972,              0.0002972,              0.0002972
                     88,                  1.135,                0.63571,                 1.1314,                0.85793,                0.73601,                0.78915,                0.45161,                 1.4257,                0.72559,                 1.3032,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.1469,                 0.6456,                 1.1361,                 0.8728,                0.72262,                0.78811,                0.45114,                 1.4191,                 0.7312,                 1.2969,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.1488,                0.64207,                 1.1343,                0.84251,                0.72931,                0.78744,                0.45202,                 1.4232,                0.73021,                 1.3073,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.0957,                0.60022,                 1.1149,                0.84634,                0.70749,                0.77171,                0.44111,                 1.4343,                0.72814,                 1.3013,               0.000218,               0.000218,               0.000218
                     92,                 1.0628,                0.58128,                 1.0954,                0.86971,                0.69436,                  0.773,                0.44753,                 1.4208,                0.72257,                 1.2975,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.0533,                0.57622,                 1.0973,                 0.8698,                0.70292,                0.77602,                0.44973,                 1.4026,                 0.7357,                 1.2881,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.0508,                0.57337,                 1.0938,                0.86551,                0.71001,                0.78002,                0.45116,                 1.4081,                0.72616,                 1.2961,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.0488,                0.57071,                 1.0948,                0.86752,                0.69661,                0.76976,                0.44469,                 1.4266,                  0.737,                 1.3023,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.0466,                0.57298,                 1.0863,                0.87481,                0.70134,                0.77801,                0.44877,                 1.4127,                0.73238,                  1.299,               0.000119,               0.000119,               0.000119
                     97,                 1.0428,                0.56505,                 1.0896,                0.88087,                0.69925,                0.77383,                0.44733,                 1.4245,                 0.7343,                 1.3043,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.0241,                0.55664,                 1.0781,                0.88219,                0.70607,                0.77851,                0.45209,                 1.4162,                0.73485,                 1.3006,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 1.0211,                0.55354,                 1.0721,                0.88739,                0.69549,                0.77779,                0.45127,                 1.4134,                0.72873,                 1.2983,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 1.0182,                0.55313,                 1.0743,                0.86718,                0.71003,                0.77943,                0.45173,                  1.412,                 0.7326,                 1.2974,               3.98e-05,               3.98e-05,               3.98e-05
